[2013-04-25 21:42:01] [info]  [ 5484] Stopping service...
[2013-04-25 21:42:02] [info]  [ 5484] Service stopped.
[2013-04-25 21:42:02] [info]  [ 5824] Run service finished.
[2013-04-25 21:42:02] [info]  [ 5824] Commons Daemon procrun finished
[2013-04-25 21:42:10] [info]  [ 4644] Commons Daemon procrun (1.0.14.0 32-bit) started
[2013-04-25 21:42:10] [info]  [ 4644] Running 'Tomcat7' Service...
[2013-04-25 21:42:10] [info]  [ 5716] Starting service...
[2013-04-25 21:42:11] [info]  [ 5716] Service started in 1076 ms.
[2013-04-25 21:44:50] [info]  [ 4924] Stopping service...
[2013-04-25 21:44:51] [info]  [ 4924] Service stopped.
[2013-04-25 21:44:51] [info]  [ 4644] Run service finished.
[2013-04-25 21:44:51] [info]  [ 4644] Commons Daemon procrun finished
[2013-04-25 21:44:51] [error] [ 4924] Failed to set service status
[2013-04-25 21:44:53] [info]  [ 4860] Commons Daemon procrun (1.0.14.0 32-bit) started
[2013-04-25 21:44:53] [info]  [ 4860] Running 'Tomcat7' Service...
[2013-04-25 21:44:53] [info]  [ 5172] Starting service...
[2013-04-25 21:44:55] [info]  [ 5172] Service started in 1083 ms.
[2013-04-25 21:52:04] [info]  [ 5556] Stopping service...
[2013-04-25 21:52:05] [info]  [ 5556] Service stopped.
[2013-04-25 21:52:05] [info]  [ 4860] Run service finished.
[2013-04-25 21:52:05] [error] [ 5556] Failed to set service status
[2013-04-25 21:52:05] [info]  [ 4860] Commons Daemon procrun finished
[2013-04-25 21:52:07] [info]  [ 5908] Commons Daemon procrun (1.0.14.0 32-bit) started
[2013-04-25 21:52:07] [info]  [ 5908] Running 'Tomcat7' Service...
[2013-04-25 21:52:07] [info]  [ 5160] Starting service...
[2013-04-25 21:52:09] [info]  [ 5160] Service started in 1087 ms.
